Case,BS,AVG,SD,AVG Time
Bays29,2234,2278,40.2541923282532,0.00323182
Berlin52,8449.57667688402,8907.6443352504,273.610064128327,0.0077958
Eil51,496.473989033862,517.734648368585,12.775674657832,0.00845444
Eil76,631.12146184144,659.597385864935,17.6488151197536,0.01595382
Pr76,134056.368392675,135803.495949986,1223.52409657968,0.01573122
St70,795.338141015449,818.245469416581,15.1230567642407,0.0138034
Oliver30,427.876891518033,456.390626669287,16.4890458885394,0.00278258
